article_id,product_group_name
108775015,Garment Upper body
108775044,Garment Upper body
108775051,Garment Upper body
110065001,Underwear
110065002,Underwear
110065011,Underwear
111565001,Socks & Tights
111565003,Socks & Tights
111586001,Garment Lower body
111593001,Socks & Tights
111609001,Socks & Tights
112679048,Garment Upper body
112679052,Garment Upper body
114428026,Underwear
114428030,Underwear
116379047,Garment Upper body
118458003,Garment Lower body
118458004,Garment Lower body
118458028,Garment Lower body
118458029,Garment Lower body
118458034,Garment Lower body
118458038,Garment Lower body
118458039,Garment Lower body
120129001,Garment Lower body
120129014,Garment Lower body
120129018,Garment Lower body
120129025,Garment Lower body
123173001,Garment Lower body
126589006,Accessories
126589007,Accessories
126589010,Accessories
126589011,Accessories
126589012,Accessories
129085001,Garment Lower body
129085026,Garment Lower body
129085027,Garment Lower body
141661022,Nightwear
141661025,Nightwear
144993001,Socks & Tights
145872001,Garment Upper body
145872037,Garment Upper body
145872043,Garment Upper body
145872051,Garment Upper body
145872052,Garment Upper body
145872053,Garment Upper body
146706001,Garment Upper body
146706004,Garment Upper body
146706005,Garment Upper body
146721001,Accessories
146721002,Accessories
146730001,Garment Lower body
147339034,Garment Upper body
148033001,Garment Lower body
148033006,Socks & Tights
150959011,Garment Lower body
150959013,Garment Lower body
153115019,Underwear
153115020,Underwear
153115021,Underwear
153115039,Underwear
153115040,Underwear
153115043,Underwear
156224001,Socks & Tights
156227001,Socks & Tights
156227002,Socks & Tights
156231001,Socks & Tights
156231002,Garment Lower body
156289011,Garment Lower body
156610001,Garment Lower body
156610007,Garment Lower body
156610010,Garment Lower body
158340001,Garment Lower body
160442007,Socks & Tights
160442010,Socks & Tights
160442042,Socks & Tights
160442043,Socks & Tights
162074062,Socks & Tights
162074069,Socks & Tights
162074071,Socks & Tights
163734002,Garment Upper body
163734054,Garment Upper body
164912035,Socks & Tights
164912039,Socks & Tights
174057022,Nightwear
174057026,Nightwear
174057027,Nightwear
174057028,Nightwear
174057029,Nightwear
174057030,Nightwear
174057032,Nightwear
174057033,Nightwear
174057035,Nightwear
174057036,Nightwear
174057037,Nightwear
174057038,Nightwear
174057039,Nightwear
174057040,Nightwear
176209023,Garment Upper body
176209025,Garment Upper body
176209033,Garment Upper body
176209035,Garment Upper body
176209039,Garment Upper body
176209040,Garment Upper body
176209044,Garment Upper body
176209046,Garment Upper body
176754001,Accessories
176754003,Accessories
176754019,Accessories
179123001,Garment Lower body
179123040,Garment Lower body
179208001,Garment Lower body
179208008,Garment Lower body
179393001,Socks & Tights
179393018,Socks & Tights
179950001,Accessories
179950002,Accessories
179950017,Accessories
181160009,Shoes
181448022,Socks & Tights
181448102,Socks & Tights
181448103,Socks & Tights
181448104,Socks & Tights
181448105,Socks & Tights
181448106,Socks & Tights
181448109,Socks & Tights
182909001,Garment Lower body
183815013,Accessories
184121021,Swimwear
184123020,Swimwear
184583014,Underwear
186262001,Accessories
186262006,Accessories
186262007,Accessories
186262013,Accessories
186264014,Accessories
186264015,Accessories
186264016,Accessories
186266004,Accessories
186267001,Accessories
186372011,Garment Lower body
186372042,Garment Lower body
186372045,Garment Lower body
186595001,Socks & Tights
187949016,Nightwear
187949019,Nightwear
187949020,Nightwear
187949025,Nightwear
187949026,Nightwear
187949028,Nightwear
187949029,Nightwear
187949030,Nightwear
187949031,Nightwear
187949032,Nightwear
188183001,Swimwear
188183008,Swimwear
188183009,Swimwear
188183010,Swimwear
188183012,Swimwear
188183014,Swimwear
188183015,Swimwear
188183016,Swimwear
188183018,Swimwear
188183020,Swimwear
188183021,Swimwear
188183022,Swimwear
188183023,Swimwear
189383001,Garment Upper body
189383014,Garment Upper body
189616001,Garment Lower body
189616006,Garment Lower body
189616007,Garment Lower body
189616008,Garment Lower body
189616009,Garment Lower body
189616014,Garment Lower body
189616015,Garment Lower body
189616016,Garment Lower body
189616028,Garment Lower body
189616032,Garment Lower body
189616038,Garment Lower body
189626001,Garment Lower body
189634001,Garment Lower body
189634031,Garment Lower body
189654001,Garment Lower body
189654045,Garment Lower body
189654046,Garment Lower body
189654047,Garment Lower body
189691033,Garment Upper body
189691044,Garment Upper body
189691051,Garment Upper body
189691063,Garment Upper body
189691067,Garment Upper body
189691075,Garment Upper body
189955076,Garment Upper body
190021001,Socks & Tights
190021003,Socks & Tights
190021021,Socks & Tights
190252020,Underwear
192460006,Garment Full body
192960023,Accessories
194037001,Garment Lower body
194037002,Garment Lower body
194242047,Garment Lower body
194242048,Garment Lower body
194242049,Garment Lower body
194242050,Garment Lower body
194270002,Garment Upper body
194270044,Garment Upper body
194270045,Garment Upper body
194270046,Garment Upper body
194902033,Garment Upper body
198518010,Underwear
198518017,Underwear
198518020,Underwear
198518023,Underwear
198518031,Underwear
198714001,Garment Lower body
198714006,Garment Lower body
199119038,Garment Lower body
